스탬프 생성|스탬프 생성
페이지를 넘겨도 확대된 본문의 위치가 고정됩니다.|페이지를 넘겨도 확대된 본문의 위치가 고정됩니다.
하이라이트|하이라이트
최근 본 작품|최근 본 작품
잠금 비밀번호 입력|잠금 비밀번호 입력
페이지 복제|페이지 복제
국어사전|국어사전
색상|색상
RP-400 모델의 SAR(전자파 흡수율)은 과학기술정보통신부에서 규정한\n'전자파 인체 보호 기준'에 부합합니다. 본 제품은 국립전파연구원의\n'전자파 흡수율 측정 기준'에 따라 몸통 부근에서 테스트를 거쳤습니다. |RP-400 모델의 SAR(전자파 흡수율)은 과학기술정보통신부에서 규정한\n'전자파 인체 보호 기준'에 부합합니다. 본 제품은 국립전파연구원의\n'전자파 흡수율 측정 기준'에 따라 몸통 부근에서 테스트를 거쳤습니다. 
옵션 더보기|옵션 더보기
전체 취소|전체 취소
최근 본 작품 목록에서 제거|최근 본 작품 목록에서 제거
검색어|검색어
추가 옵션|추가 옵션
책 읽기 중 한 손가락으로\n화면을 위아래로 쓸어서\n쉽게 조절할 수 있습니다.|책 읽기 중 한 손가락으로\n화면을 위아래로 쓸어서\n쉽게 조절할 수 있습니다.
 동의 (선택)| 동의 (선택)
선택한 경로에 이름이 %1$s인 파일이 존재합니다. 파일을 대치하시겠습니까?|선택한 경로에 이름이 %1$s인 파일이 존재합니다. 파일을 대치하시겠습니까?
기간이 만료된 작품입니다.|기간이 만료된 작품입니다.
본문 하단|본문 하단
이 문서는 편집을 지원하지 않습니다.|이 문서는 편집을 지원하지 않습니다.
숙면을 방해하는 차가운 백색 빛|숙면을 방해하는 차가운 백색 빛
남겨진 독서노트가 없습니다.|남겨진 독서노트가 없습니다.
"이미 %d대의 기기로 리디북스를 이용 중입니다.\n대체할 기기를 선택해주세요."|"이미 %d대의 기기로 리디북스를 이용 중입니다.\n대체할 기기를 선택해주세요."
최근 본 작품이 없습니다.|최근 본 작품이 없습니다.
범위|범위
참고 용도|참고 용도
줄 간격|줄 간격
저자|저자
책장 이동|책장 이동
